纬度,经度,名称,数量
37.0675,-80.4405,"Montgomery, Virginia",1331
37.5427,-77.9267,"Powhatan, Virginia",264
37.6301,-79.5431,"Rockbridge, Virginia",296
37.6274,-77.4322,"Henrico, Virginia",4673
38.7717,-77.4448,"Manassas Park (city), Virginia",58
37.1026,-82.3763,"Dickenson, Virginia",550
37.8832,-76.3477,"Northumberland, Virginia",140
38.8514,-77.1579,"Fairfax, Virginia",5006
36.839,-78.7284,"Halifax, Virginia",387
37.7533,-78.1638,"Fluvanna, Virginia",161
38.1939,-79.0087,"Augusta, Virginia",419
38.3319,-77.4655,"Stafford, Virginia",2254
39.0302,-77.4712,"Loudoun, Virginia",1488
36.8615,-82.7774,"Wise, Virginia",2136
37.4984,-76.2883,"Mathews, Virginia",131
37.2473,-81.8015,"Buchanan, Virginia",1080
38.0673,-78.9012,"Waynesboro (city), Virginia",39
38.041,-78.5222,"Albemarle, Virginia",258
36.6015,-81.6257,"Grayson, Virginia",190
37.913,-78.8828,"Nelson, Virginia",136
37.7825,-79.444,"Lexington (city), Virginia",8
36.9791,-82.2961,"Russell, Virginia",860
36.9052,-76.8978,"Southampton, Virginia",465
38.0941,-76.8229,"Westmoreland, Virginia",300
36.7168,-80.3578,"Patrick, Virginia",347
36.8293,-79.9917,"Franklin, Virginia",870
36.6871,-83.1152,"Lee, Virginia",629
37.2338,-79.2895,"Campbell, Virginia",290
36.7196,-82.7962,"Scott, Virginia",1368
36.9853,-77.7219,"Dinwiddie, Virginia",88
36.6771,-80.6997,"Carroll, Virginia",421
37.6917,-75.7182,"Accomack, Virginia",181
37.5295,-75.8283,"Northampton, Virginia",50
36.9608,-78.1283,"Lunenburg, Virginia",94
37.7301,-76.538,"Lancaster, Virginia",56
37.494,-78.6333,"Buckingham, Virginia",632
36.6871,-79.7872,"Henry, Virginia",509
38.416,-77.8267,"Culpeper, Virginia",1181
39.1734,-78.1745,"Winchester (city), Virginia",276
38.2484,-78.1125,"Orange, Virginia",472
37.506,-77.6492,"Chesterfield, Virginia",4046
38.6355,-77.6661,"Fauquier, Virginia",1351
38.6601,-78.9061,"Rockingham, Virginia",684
37.3366,-77.9882,"Amelia, Virginia",83
36.666,-78.3908,"Mecklenburg, Virginia",415
36.666,-81.6382,"Washington, Virginia",815
36.8862,-81.192,"Wythe, Virginia",1187
38.0068,-77.9061,"Louisa, Virginia",353
39.0551,-78.3681,"Shenandoah, Virginia",1146
36.7929,-81.5927,"Smyth, Virginia",593
37.9501,-76.6625,"Richmond, Virginia",1743
36.816,-77.4689,"Greensville, Virginia",119
37.344,-77.0687,"Charles City, Virginia",14
37.1229,-80.5583,"Radford (city), Virginia",79
37.6674,-78.0883,"Cumberland, Virginia",79
38.9231,-78.1033,"Warren, Virginia",2000
36.8553,-77.8937,"Brunswick, Virginia",127
38.6653,-78.4545,"Page, Virginia",507
36.9933,-78.601,"Charlotte, Virginia",165
38.3237,-79.6403,"Highland, Virginia",4
37.373,-80.8576,"Giles, Virginia",821
37.4418,-77.0436,"New Kent, Virginia",171
36.9342,-80.7255,"Pulaski, Virginia",1297
38.0533,-77.3473,"Caroline, Virginia",386
36.7335,-76.0435,"Virginia Beach (city), Virginia",533
37.3866,-79.7253,"Bedford, Virginia",765
36.6716,-79.4196,"Pittsylvania, Virginia",291
38.6823,-77.2604,"Prince William, Virginia",4229
37.4167,-79.8779,"Botetourt, Virginia",537
36.866,-76.8308,"Isle of Wight, Virginia",237
37.6015,-77.7022,"Goochland, Virginia",68
39.264,-78.3319,"Frederick, Virginia",1612
37.1521,-81.1501,"Bland, Virginia",85
37.7668,-77.3706,"Hanover, Virginia",1455
36.6778,-76.3024,"Chesapeake (city), Virginia",574
37.9185,-76.8665,"Essex, Virginia",64
36.8457,-77.2875,"Sussex, Virginia",84
38.4879,-78.3261,"Madison, Virginia",118
37.6395,-76.5747,"Middlesex, Virginia",82
38.1948,-79.5709,"Bath, Virginia",77
38.8786,-77.1011,"Arlington, Virginia",1208
37.0821,-78.0029,"Nottoway, Virginia",100
38.2504,-78.4417,"Greene, Virginia",130
37.7786,-79.9868,"Covington (city), Virginia",1
37.1909,-81.6387,"Tazewell, Virginia",2826
38.0374,-78.4856,"Charlottesville (city), Virginia",75
37.4293,-80.1395,"Craig, Virginia",56
37.8865,-79.9795,"Alleghany, Virginia",374
37.2801,-76.4402,"Gloucester, Virginia",354
36.8945,-76.259,"Norfolk (city), Virginia",577
36.5882,-76.6847,"Suffolk (city), Virginia",231
39.1508,-77.9823,"Clarke, Virginia",127
37.2042,-77.3914,"Petersburg (city), Virginia",107
37.2273,-76.9665,"Surry, Virginia",12
38.8648,-77.1878,"Falls Church (city), Virginia",11
38.6562,-78.2322,"Rappahannock, Virginia",87
36.666,-80.9176,"Galax (city), Virginia",8
36.6827,-79.8636,"Martinsville (city), Virginia",56
37.3799,-76.8041,"James City, Virginia",244
36.5831,-79.4088,"Danville (city), Virginia",101
37.4487,-79.1058,"Amherst, Virginia",360
38.4362,-78.8735,"Harrisonburg (city), Virginia",57
38.2992,-77.4871,"Fredericksburg (city), Virginia",172
37.2747,-79.8886,"Roanoke, Virginia",1769
37.2642,-78.682,"Appomattox, Virginia",113
36.8468,-76.354,"Portsmouth (city), Virginia",618
37.1052,-76.5185,"Newport News (city), Virginia",550
38.1982,-77.5885,"Spotsylvania, Virginia",2539
37.2864,-80.0554,"Salem (city), Virginia",125
38.1593,-79.0608,"Staunton (city), Virginia",44
36.618,-82.1607,"Bristol (city), Virginia",237
37.2691,-76.7075,"Williamsburg (city), Virginia",17
37.0379,-80.2045,"Floyd, Virginia",104
38.8184,-77.0861,"Alexandria (city), Virginia",99
36.9317,-82.626,"Norton (city), Virginia",2
37.4004,-79.1911,"Lynchburg (city), Virginia",194
37.1982,-76.433,"York, Virginia",345
36.6953,-77.5356,"Emporia (city), Virginia",38
37.1318,-76.3569,"Poquoson (city), Virginia",20
37.2914,-77.2985,"Hopewell (city), Virginia",75
37.7316,-79.3565,"Buena Vista (city), Virginia",37
37.265,-77.3969,"Colonial Heights (city), Virginia",140
37.805,-81.9923,"Logan, West Virginia",1036
38.8779,-78.8661,"Hardy, West Virginia",196
39.0813,-79.6455,"Tucker, West Virginia",7
37.9607,-81.0795,"Fayette, West Virginia",179
40.6179,-80.5998,"Hancock, West Virginia",361
39.3242,-77.7517,"Jefferson, West Virginia",177
39.3923,-80.2989,"Harrison, West Virginia",1465
38.2254,-82.4415,"Wayne, West Virginia",244
39.2711,-79.3662,"Grant, West Virginia",134
37.9443,-81.4371,"Raleigh, West Virginia",1974
37.4362,-80.964,"Mercer, West Virginia",2126
37.9713,-81.7138,"Boone, West Virginia",131
39.5512,-79.8003,"Preston, West Virginia",72
